s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 5.4040318E+001, 3.0139887E+000,-4.6243327E-001,-2.6793128E+000,-1.1511537E-002,-3.3661165E-004, 0.0000000E+000, 0.0000000E+000,-1.3459566E-001,-1.3960556E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.5030212E+001, 3.0009138E+000,-4.6363131E-001,-2.4817141E+000,-9.7052111E-003,-3.3489716E-004, 0.0000000E+000, 0.0000000E+000, 4.7749433E-002, 4.5528250E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.6029533E+001, 2.9586368E+000,-4.5639545E-001,-2.5617479E+000,-7.5304241E-003,-3.3249185E-004, 0.0000000E+000, 0.0000000E+000,-5.9879946E-002,-6.7369501E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.7014713E+001, 2.9678596E+000,-4.6552790E-001,-2.3045524E+000,-9.0304177E-003,-3.2513174E-004, 0.0000000E+000, 0.0000000E+000, 1.7180918E-001, 1.8842367E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.8051746E+001, 3.0271808E+000,-4.8036206E-001,-2.4473317E+000,-8.3428915E-003,-3.3098835E-004, 0.0000000E+000, 0.0000000E+000, 1.0698964E-001, 9.0813235E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.9036926E+001, 3.0136233E+000,-4.5298788E-001,-2.7495120E+000,-9.0698861E-003,-3.3520924E-004, 0.0000000E+000, 0.0000000E+000,-2.1716130E-001,-1.9828168E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.0041401E+001, 2.9474673E+000,-4.5577738E-001,-2.2859254E+000,-7.1954709E-003,-3.2822994E-004, 0.0000000E+000, 0.0000000E+000, 1.6981174E-001, 1.9824078E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.1044479E+001, 3.0334901E+000,-4.8721190E-001,-2.5782926E+000,-7.6022557E-003,-3.3192027E-004, 0.0000000E+000, 0.0000000E+000,-1.4535352E-002,-3.9948576E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.2024475E+001, 3.0283413E+000,-4.5628873E-001,-2.7223328E+000,-7.5251087E-003,-3.3486249E-004, 0.0000000E+000, 0.0000000E+000,-1.8618920E-001,-1.5814022E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.3015854E+001, 2.9838332E+000,-4.5694428E-001,-2.6523846E+000,-7.4855925E-003,-3.3599088E-004, 0.0000000E+000, 0.0000000E+000,-1.3431017E-001,-1.3331723E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.4046692E+001, 2.9899716E+000,-4.6214624E-001,-2.4255685E+000,-6.5736397E-003,-3.3770029E-004, 0.0000000E+000, 0.0000000E+000, 1.0001862E-001, 9.5345534E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 6.5023277E+001, 2.9607829E+000,-4.4465327E-001,-2.4529526E+000,-7.3879952E-003,-3.3579872E-004, 0.0000000E+000, 0.0000000E+000, 7.7265555E-002, 5.5453146E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
